Id,Accession,title,summary,taxon
200112120,GSE112120,Risk SNPs mediated promoter-enhancer switching promotes prostate cancer progression through lncRNA PCAT19 (ChIP-seq data set),"To determine the binding of H3K4me1 and H3K4me3 to PCAT19 locus, we performed ChIP-seq in 22Rv1 cells.",Homo sapiens
200117735,GSE117735,The ATPase module of mammalian SWI/SNF family complexes mediates subcomplex identity and catalytic activity-independent genomic targeting,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens
200117734,GSE117734,The mSWI/SNF ATPase module mediates subcomplex identity and non-catalytic targeting in SCCOHT [ChIP-seq],"Perturbations to mammalian SWI/SNF (mSWI/SNF) chromatin remodeling complexes have been widely implicated as driving events across cancers1. One such perturbation is the dual loss of the SMARCA4 and SMARCA2 ATPase subunits, which has recently been implicated in rare cancers such as small cell carcinoma of the ovary, hypercalcemic type (SCCOHT)2-5, SMARCA4-deficient thoracic sarcomas6 and dedifferentiated endometrial carcinomas7. The consequences of SMARCA4/2 dual loss on the biochemical composition of the complex, chromatin targeting and remodeling capabilities, and subcomplex identity (BAF vs. PBAF) in these cancers are unknown.  Here, we leverage SCCOHT cell lines to identify an unexpected ATPase module of mSWI/SNF subunits. Using biochemical and genome-wide profiling assays, we found that the incorporation of the ATPase module is a critical step in the functional specification of BAF and PBAF subcomplexes. Furthermore, by utilizing ATPase mutant variants, we found that the ATPase module mediates two separate and concurrent mSWI/SNF targeting mechanisms, evenly split between catalytically-independent targeting to primed enhancers/promoters and catalytically-dependent targeting to de novo enhancers. Finally, by linking these distinct sites to separate tumor-suppressive gene expression programs across ovarian tissues , we clarify the mechanistic consequences of SMARCA4/2 loss dual loss in these rare tumors.",Homo sapiens
200128119,GSE128119,COX-2 mediates tumor-stromal Prolactin signaling to initiate tumorigenesis [ChIP-seq],"Tumor-stromal communication within the microenvironment contributes to initiation of metastasis and may present a therapeutic opportunity. Using serial single cell RNA-sequencing in an orthotopic mouse prostate cancer model, we find upregulation of Prolactin receptor as cancer cells that have disseminated to the lung expand into micrometastases. Secretion of the ligand Prolactin by adjacent lung stromal cells is induced by tumor cell production of the COX-2 synthetic product prostaglandin E-2 (PGE-2). PGE-2 treatment of fibroblasts activates the nuclear orphan receptor NR4A (Nur77), with Prolactin as a major transcriptional target for the NR4A-Retinoid X receptor (RXR) heterodimer. Ectopic expression of Prolactin receptor in mouse cancer cells enhances micrometastasis, while treatment with the COX-2 inhibitor Celecoxib abrogates Prolactin secretion by fibroblasts and reduces tumor initiation. Across multiple human cancers, COX-2, Prolactin, and Prolactin receptor show consistent differential expression in tumor and stromal compartments. Such paracrine crosstalk may thus contribute to the documented efficacy of COX-2 inhibitors in cancer suppression.",Homo sapiens
200126367,GSE126367,Copy number analysis of selumetinib-resistant CRC cells lines,Copy number analysis to compare parental colorectal cancer cell lines and their selumetinib-resistant derivatives and identify gene copy changes that might contribute to resistance,Homo sapiens
200128077,GSE128077,Whole genome-derived tiled peptide arrays detect pre-diagnostic autoantibody signatures in non-small cell lung cancer,"Investigation of whole genome-derived tiled peptide arrays to identify epitopes associated with autoantibody reactivity in NSCLC as a potential means for early detection. Arrays consisted of 2,781,902 tiled peptides representing 20,193 proteins encoded in the human genome. The detailed analysis in this study is further described in Yan et al. Whole genome-derived tiled peptide arrays detect pre-diagnostic autoantibody signatures in non-small cell lung cancer. Cancer Res. 2019 Feb 5. pii: canres.1536.2018",Homo sapiens
200126109,GSE126109,RNA sequencing analysis of selumetinib-resistant CRC cells lines,RNA sequencing analysis to compare parental colorectal cancer cell lines and their selumetinib-resistant derivatives and identify expression changes and/or mutations that might contribute to resistance,Homo sapiens
200106774,GSE106774,Risk SNPs mediated promoter-enhancer switching promotes prostate cancer progression through lncRNA PCAT19 (RNA-seq data sets),"To determine the functional mechanisms of PCAT19-long isoform and HNRNPAB, we conducted siRNA knockdown RNA-sequencing in prostate cancer cell line V16A.",Homo sapiens
200125561,GSE125561,Transcription factor SPIB binding sites identification in attached and suspended lung cancer cells,SPIB overexpressed in lung cancer and promoted metastasis.The mechanism is likely that transcription factor SPIB regulates anoikis resistance and autophagy to control lung cancer metastasis.H1703 cells overexpressing SPIB were cultured in attached or detached condition.ChIP-seq was performed to find special genes regulated directly by SPIB.,Homo sapiens
200117301,GSE117301,The mSWI/SNF ATPase module mediates subcomplex identity and non-catalytic targeting in SCCOHT [ATAC-seq],"Perturbations to mammalian SWI/SNF (mSWI/SNF) chromatin remodeling complexes have been widely implicated as driving events across cancers1. One such perturbation is the dual loss of the SMARCA4 and SMARCA2 ATPase subunits, which has recently been implicated in rare cancers such as small cell carcinoma of the ovary, hypercalcemic type (SCCOHT)2-5, SMARCA4-deficient thoracic sarcomas6 and dedifferentiated endometrial carcinomas7. The consequences of SMARCA4/2 dual loss on the biochemical composition of the complex, chromatin targeting and remodeling capabilities, and subcomplex identity (BAF vs. PBAF) in these cancers are unknown.  Here, we leverage SCCOHT cell lines to identify an unexpected ATPase module of mSWI/SNF subunits. Using biochemical and genome-wide profiling assays, we found that the incorporation of the ATPase module is a critical step in the functional specification of BAF and PBAF subcomplexes. Furthermore, by utilizing ATPase mutant variants, we found that the ATPase module mediates two separate and concurrent mSWI/SNF targeting mechanisms, evenly split between catalytically-independent targeting to primed enhancers/promoters and catalytically-dependent targeting to de novo enhancers. Finally, by linking these distinct sites to separate tumor-suppressive gene expression programs across ovarian tissues , we clarify the mechanistic consequences of SMARCA4/2 loss dual loss in these rare tumors.",Homo sapiens
200117311,GSE117311,The mSWI/SNF ATPase module mediates subcomplex identity and non-catalytic targeting in SCCOHT [RNA-seq],"Perturbations to mammalian SWI/SNF (mSWI/SNF) chromatin remodeling complexes have been widely implicated as driving events across cancers1. One such perturbation is the dual loss of the SMARCA4 and SMARCA2 ATPase subunits, which has recently been implicated in rare cancers such as small cell carcinoma of the ovary, hypercalcemic type (SCCOHT)2-5, SMARCA4-deficient thoracic sarcomas6 and dedifferentiated endometrial carcinomas7. The consequences of SMARCA4/2 dual loss on the biochemical composition of the complex, chromatin targeting and remodeling capabilities, and subcomplex identity (BAF vs. PBAF) in these cancers are unknown.  Here, we leverage SCCOHT cell lines to identify an unexpected ATPase module of mSWI/SNF subunits. Using biochemical and genome-wide profiling assays, we found that the incorporation of the ATPase module is a critical step in the functional specification of BAF and PBAF subcomplexes. Furthermore, by utilizing ATPase mutant variants, we found that the ATPase module mediates two separate and concurrent mSWI/SNF targeting mechanisms, evenly split between catalytically-independent targeting to primed enhancers/promoters and catalytically-dependent targeting to de novo enhancers. Finally, by linking these distinct sites to separate tumor-suppressive gene expression programs across ovarian tissues , we clarify the mechanistic consequences of SMARCA4/2 loss dual loss in these rare tumors.",Homo sapiens
200112164,GSE112164,Risk SNPs mediated promoter-enhancer switching promotes prostate cancer progression through lncRNA PCAT19,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens
200120993,GSE120993,Withdrawal of MEK1/2 inhibitor reverses acquired resistance driven by BRAF amplification but drives EMT and chemoresistance in cells with amplified KRAS,"Acquired resistance to MEK1/2 inhibitors can arise through amplification of BRAFV600E or KRASG13D to reinstate ERK1/2 signalling. Here we show that BRAFV600E amplification and selumetinib resistance are fully reversible following drug withdrawal. Resistant cells with BRAFV600E amplification become addicted to selumetinib to maintain a precise level of ERK1/2 signalling (2-3% of total ERK1/2 active, here quantified by mass spectrometry), that is optimal for cell survival and proliferation. The magnitude of ERK1/2 activation following selumetinib withdrawal (~20% active) drives a p57KIP2-dependent G1 cell cycle arrest and senescence or expression of NOXA and cell death, which selects against those cells with amplified BRAFV600E. ERK1/2-dependent p57KIP2 expression is required for loss of BRAFV600E amplification and determines the rate of reversal of selumetinib resistance. Furthermore, growth of selumetinib-resistant cells with BRAFV600E amplification as tumour xenografts is inhibited in mice that do not receive selumetinib. Thus, BRAFV600E amplification confers a selective disadvantage during drug withdrawal, providing a rationale for intermittent dosing to forestall resistance. In striking contrast, selumetinib resistance driven by KRASG13D amplification is not reversible. In these cells ERK1/2 reactivation does not inhibit proliferation but drives a ZEB1-dependent epithelial-to-mesenchymal transition that increases cell motility and promotes resistance to traditional chemotherapy agents arguing strongly against the use of ‘drug holidays’ in cases of KRASG13D amplification.",Homo sapiens
200124453,GSE124453,Genome-wide identification of cancer-specific alternative splicing in circRNA,"Circular RNA (circRNA) is a group of RNA family generated by RNA circularization, which was discovered ubiquitously across different cancers. However, the internal structure of circRNA is hard to be determined since of the alternative splicing happened in exons and introns of circRNA and the cancer-specific alternative splicing of circRNA is less to be identified. Here we proposed a custom tool CircSplice, which could identify internal alternative splicing of circRNA and compare the differential splicing between samples. By applying CircSplice in ccRCC, we identified cancer-specific alternative splicing (AS) events belong to circRNAs in ccRCC. We further confirmed the existence of alternative splicing events in circRNAs by RT-PCR. This study is the first exploration of cancer-specific alternative splicing in circRNAs, which helps researchers to better understand potential functions of splicing of circRNAs in cancers.",Homo sapiens
200106592,GSE106592,Silencing SPIB in attached and floating state of H1703 lung cancer cells,"To gain mechanistic insight into the role of SPIB in anoikis resistance, we assessed the transcriptional profile of the genes involved using RNA sequencing",Homo sapiens
200115197,GSE115197,miRNA expression in BMSCs,We performed microarray analysis to determine the expression profiles of miRNAs during osteoblast differentiation of BMSCs,Homo sapiens
200115196,GSE115196,circRNA expression in BMSCs,We performed microarray analysis to determine the expression profiles of circRNAs during osteoblast differentiation of BMSCs,Homo sapiens
200116984,GSE116984,Genome-wide maps in MCF-7 cells with six2 or CYP4Z1 3'UTR or CYP4Z2P 3'UTR overexpression or not,Analysis of MCF-7 cells following six2 or CYP4Z1 3'UTR or CYP4Z2P 3'UTR overexpression. Overexpression of six2 or CYP4Z1 3'UTR or CYP4Z2P 3'UTR positively regulates the abundance of embryonic stem cell function. Results provide insight into the role of six2 mediated-regulation on the ceRNA network between CYP4Z1 and pseudogene CYP4Z2P in breast cancer stemness.,Homo sapiens
200107387,GSE107387,RNA-seq identifies a distinct response in macrophages stimulated with early secreted antigenic target 6-KDa from Mycobacterium tuberculosis,"Purpose: The goals of this study are to obtain the NGS-derived transcriptome profiling (RNA-seq) for THP-1 macrophages response to early secreted antigenic target 6-KDa (ESAT6) from Mycobacterium tuberculosis Methods: mRNA profiles of THP-1 macrophages treated with ESAT6 were generated by deep sequencing, using Illumina Hiseq3000. The sequence reads that passed quality filters were first mapped to the latest UCSC transcript set using Bowtie2 (version 2.1.0). Then the gene expression level was estimated using RSEM (RNA-Seq by Expectation Maximization, v1.2.15), and normalized with TMM (trimmed mean of M-values) to identify differentially expressed genes (DEGs) using the edgeR package edgeR. qRT–PCR validation was performed using SYBR Green assays. Results: Using an optimized data analysis workflow, we mapped about 23 million sequence reads per sample to the human genome (GRCh38/hg38) and identified 25,343 transcripts. Conclusions: Our study represents the first detailed analysis of transcriptomes for macrophages response to ESAT6, generated by RNA-seq technology.",Homo sapiens
200111073,GSE111073,Expression profiling by RNA-Seq of breast cancer samples from patients in walnut-consuming and control groups,"Consumption of walnuts has slowed breast cancer growth and/or reduced the risk of breast cancer in mice. The significantly reduced mean tumor size or numbers of tumors was associated with changing the expressions of many genes that are associated with cancer growth, survival and metastasis. Many women treated for breast cancer are interested in reducing the risk for recurrence. The study was a non-placebo, two-arm, clinical trial. Women with lumps large enough for research and pathology biopsies were recruited to the trial. One or two additional biopsies were taken for gene expression analyses using next generation RNA Sequencing methods. The subjects randomized to the walnut group immediately began to consume 2 ounces of walnuts per day until follow-up surgery, if surgery were needed. At follow up surgery, additional biopsies were taken from the surgically removed, cancerous tissue for additional gene expression analyses. Changes in gene expression compared to baseline were determined in tumors of each individual woman in walnut-consuming and control groups.",Homo sapiens
200117145,GSE117145,Genome-wide maps of chromatin state in MCF-7 cells with six2 overexpression or not,"By obtaining over four billion bases of sequence from chromatin immunoprecipitated DNA in MCF-7 cells with six2 overexpression or not, we generated genome-wide chromatin-state maps of these two cells. We identified the detailed binding sites of six2 in MCF-7 cells.",Homo sapiens
200128079,GSE128079,Differential expression of miRNAs in acute myeloid leukemia quantified by NGS of whole blood samples,"We collected peripheral blood samples from 10 adult patients with newly diagnosed acute myeloid leukemia (AML), prior to induction chemotherapy, and 9 controls. Levels of miRNAs were obtained stranded small RNA-sequencing. We compared AML and control groups to identify differential miRNAs. In a subset analysis, patients with NPM1 and FLT3 mutations showed the greatest number of differentially expressed miRNAs compared to controls. Some of these miRs have been described previously in association with leukemia, but many are new.",Homo sapiens
200128078,GSE128078,Whole blood human transcriptome and virome analysis of ME/CFS patients experiencing post-exertional malaise following cardiopulmonary exercise testing,"Myalgic encephalomyelitis / chronic fatigue syndrome (ME/CFS) is a syndrome of unknown etiology characterized by profound fatigue exacerbated by physical activity, also known as post-exertional malaise (PEM). Previously, we did not detect evidence of immune dysregulation or virus reactivation outside of PEM periods. Here we sought to determine whether cardiopulmonary exercise stress testing of ME/CFS patients could trigger such changes. ME/CFS patients (n=14) and matched sedentary controls (n=11) were subjected to cardiopulmonary exercise on 2 consecutive days and followed up to 7 days post-exercise, and longitudinal whole blood samples analyzed by RNA-seq. Although ME/CFS patients showed significant worsening of symptoms following exercise versus controls, with 8 of 14 ME/CFS patients showing oxygen consumption (V̇O2) on day 2, transcriptome analysis yielded only 6 differentially expressed gene (DEG) candidates when comparing ME/CFS patients to controls across all time points. None of the DEGs were related to immune signaling, and no DEGs were found in ME/CFS patients before and after exercise. Virome composition (P=0.746 by chi-square test) and number of viral reads (P = 0.098 by paired t-test) were not significantly associated with PEM. These observations do not support transcriptionally-mediated immune cell dysregulation or viral reactivation in ME/CFS patients during symptomatic PEM episodes.",Homo sapiens
200128068,GSE128068,Comprehensive constitutional genetic and epigenetic characterization of Lynch-like individuals,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens
