disease_name,disease_counts
"Abdomen, Acute",0
Abdominal Injuries,0
Abdominal Neoplasms,25
Abetalipoproteinemia,5
Congenital Abnormalities,1659
"Abnormalities, Drug-Induced",4
"Abnormalities, Multiple",517
"Abnormalities, Radiation-Induced",0
"Abortion, Spontaneous",22
"Abortion, Habitual",11
"Abortion, Incomplete",0
"Abortion, Missed",0
"Abortion, Septic",0
"Abortion, Threatened",5
"Abortion, Veterinary",0
Abruptio Placentae,0
Abscess,3
Peritonsillar Abscess,0
Acantholysis,0
Acanthosis Nigricans,2
Severe Acute Malnutrition,0
Shellfish Hypersensitivity,0
Symptom Flare Up,0
"Obesity, Metabolically Benign",0
Cold Injury,0
War-Related Injuries,0
Late Onset Disorders,0
Compassion Fatigue,0
"Fractures, Multiple",0
Drug Resistant Epilepsy,0
Autoimmune Hypophysitis,0
Canaliculitis,0
Incisional Hernia,0
Plasmablastic Lymphoma,1
Mammary Analogue Secretory Carcinoma,0
Acne Conglobata,0
Fused Kidney,0
Long Term Adverse Effects,0
Infectious Encephalitis,58
Waterborne Diseases,0
Unilateral Breast Neoplasms,0
Degloving Injuries,0
Staghorn Calculi,0
Talipes,1
Talipes Cavus,0
Metatarsal Valgus,0
Metatarsus Varus,0
Anterior Cruciate Ligament Injuries,1
Shoulder Injuries,0
Tibial Meniscus Injuries,1
Coxa Magna,0
Tarsal Coalition,0
Morton Neuroma,0
"Microtrauma, Physical",0
Brain Contusion,0
"Brain Injuries, Diffuse",0
Chronic Traumatic Encephalopathy,0
"Diastasis, Muscle",0
"Diastasis, Bone",0
Rotator Cuff Injuries,0
Elbow Tendinopathy,0
"Brain Injuries, Traumatic",7
Rotator Cuff Tear Arthropathy,0
Crystal Arthropathies,3
Enthesopathy,0
Giant Cell Tumor of Tendon Sheath,2
Bankart Lesions,0
Hyperekplexia,0
Anorectal Malformations,0
Tardive Dyskinesia,0
"Alert Fatigue, Health Personnel",0
"Pneumonia, Necrotizing",0
Multiple Chronic Conditions,0
Familial Multiple Lipomatosis,0
Microaneurysm,0
Acute Febrile Encephalopathy,0
Neonatal Sepsis,2
Small Fiber Neuropathy,0
"Stenosis, Pulmonary Vein",0
"Stenosis, Pulmonary Artery",0
Zika Virus Infection,17
Emergence Delirium,0
Acute Retroviral Syndrome,0
Body Remains,0
Bunion,0
"Fibromatosis, Plantar",0
"Fractures, Avulsion",0
Crush Injuries,0
Cellulite,0
Latent Autoimmune Diabetes in Adults,0
Bilateral Vestibulopathy,0
Cone-Rod Dystrophies,0
Medically Unexplained Symptoms,0
Myocardial Contusions,0
Breast Carcinoma In Situ,64
Fracture Dislocation,0
Salter-Harris Fractures,0
Lymphadenopathy,1
Breast Cancer Lymphedema,0
ST Elevation Myocardial Infarction,0
Non-ST Elevated Myocardial Infarction,0
Hypophysitis,0
Teratozoospermia,0
Ciliopathies,67
Spontaneous Perforation,0
Ankyloglossia,0
Cancer Pain,0
Propofol Infusion Syndrome,0
Invasive Fungal Infections,8
Surgical Wound,0
Chromothripsis,0
Noncommunicable Diseases,0
Epileptic Syndromes,43
Occupational Stress,0
Microvascular Rarefaction,0
Frailty,0
Spotted Fever Group Rickettsiosis,1
Transfusion-Related Acute Lung Injury,0
Varicella Zoster Virus Infection,10
"Pain, Procedural",0
Trisomy 13 Syndrome,1
Trisomy 18 Syndrome,1
Vascular Ring,0
Food Intolerance,0
Tubular Sweat Gland Adenomas,0
Interatrial Block,0
Cerebral Intraventricular Hemorrhage,0
Undifferentiated Connective Tissue Diseases,0
Meconium Ileus,0
Opium Dependence,0
Oncogene Addiction,0
Median Arcuate Ligament Syndrome,0
Nut and Peanut Hypersensitivity,0
Kounis Syndrome,0
"Substance Abuse, Oral",0
Smoldering Multiple Myeloma,0
Essential Hypertension,0
Cardiac Conduction System Disease,48
"Hypoadrenocorticism, Familial",0
Heavy Metal Poisoning,1
Immunoglobulin Light-chain Amyloidosis,0
Solitary Kidney,0
Charles Bonnet Syndrome,0
Injection Site Reaction,0
Clinical Deterioration,0
Alcoholic Korsakoff Syndrome,0
Travel-Related Illness,0
"Communicable Diseases, Imported",0
Diverticular Diseases,1
Neonatal Brachial Plexus Palsy,0
Neurolymphomatosis,0
Adenocarcinoma of Lung,140
Squamous Cell Carcinoma of Head and Neck,82
"Chondrosarcoma, Clear Cell",0
"Carcinoma, Ovarian Epithelial",56
Sleepiness,0
"Thyroid Cancer, Papillary",20
Nasopharyngeal Carcinoma,43
Craniofacial Fibrous Dysplasia,0
Esophageal Squamous Cell Carcinoma,45
"Urinary Bladder, Underactive",0
Healthcare-Associated Pneumonia,0
Post-Lyme Disease Syndrome,0
GATA2 Deficiency,0
Cauda Equina Syndrome,0
Immunoglobulin G4-Related Disease,0
Cone Dystrophy,2
Myopericytoma,0
Pancreatic Intraductal Neoplasms,0
Body-Weight Trajectory,0
Gestational Weight Gain,0
Achlorhydria,1
Achondroplasia,1
Acid-Base Imbalance,40
Acidosis,16
"Acidosis, Lactic",9
"Acidosis, Renal Tubular",0
"Acidosis, Respiratory",0
Acinetobacter Infections,0
Acne Vulgaris,10
Vestibulocochlear Nerve Diseases,35
Acquired Immunodeficiency Syndrome,47
Acrocephalosyndactylia,8
Acrodermatitis,1
Acrodynia,0
Acromegaly,1
"ACTH Syndrome, Ectopic",1
Actinobacillosis,0
Actinobacillus Infections,0
Actinomycetales Infections,316
Actinomycosis,1
"Actinomycosis, Cervicofacial",0
Acute Disease,0
Acute-Phase Reaction,0
Adams-Stokes Syndrome,0
Addison Disease,0
Adenocarcinoma,2717
"Adenocarcinoma, Papillary",32
Adenofibroma,0
Adenolymphoma,0
Adenoma,390
"Adenoma, Basophil",2
"Adenoma, Chromophobe",0
"Adenoma, Acidophil",0
Adenoviridae Infections,26
"Adenovirus Infections, Human",3
Tissue Adhesions,0
Adie Syndrome,0
Adiposis Dolorosa,0
Adnexal Diseases,799
Pelvic Inflammatory Disease,4
Adrenal Cortex Diseases,125
Adrenal Cortex Neoplasms,55
Adrenal Gland Diseases,362
Adrenocortical Hyperfunction,217
Adrenal Insufficiency,10
Adrenal Gland Neoplasms,72
"Adrenal Hyperplasia, Congenital",3
Adrenal Rest Tumor,3
Adrenoleukodystrophy,8
Aerophagy,0
Afferent Loop Syndrome,0
Afibrinogenemia,0
African Horse Sickness,0
African Swine Fever,1
Agammaglobulinemia,3
Ageusia,0
Agnosia,9
Agranulocytosis,10
Agraphia,0
Agricultural Workers' Diseases,0
AIDS-Related Complex,1
Ainhum,0
Airway Obstruction,26
Akinetic Mutism,0
Albinism,16
Albuminuria,9
Alcohol Amnestic Disorder,0
Alcohol Withdrawal Delirium,0
Alcoholic Intoxication,0
Alcoholism,28
Aleutian Mink Disease,0
Alkalosis,0
"Alkalosis, Respiratory",0
Alkaptonuria,0
Alopecia,25
Alopecia Areata,5
"Mucinosis, Follicular",0
Altitude Sickness,4
"Alveolitis, Extrinsic Allergic",2
Alzheimer Disease,216
Amblyopia,1
Amebiasis,3
Ameloblastoma,3
Amelogenesis Imperfecta,0
Amenorrhea,0
"Amino Acid Metabolism, Inborn Errors",67
Renal Aminoacidurias,0
Amnesia,6
"Amnesia, Retrograde",0
Amniotic Band Syndrome,0
"Amputation, Traumatic",0
Amyloidosis,15
Amyotrophic Lateral Sclerosis,123
Anal Gland Neoplasms,0
"Pain Insensitivity, Congenital",2
Anaphylaxis,3
Anaplasia,3
Anaplasmataceae Infections,1
Anaplasmosis,0
Ancylostomiasis,0
Anemia,200
"Anemia, Aplastic",63
"Anemia, Dyserythropoietic, Congenital",1
"Anemia, Hemolytic",78
"Anemia, Hemolytic, Autoimmune",0
"Anemia, Hemolytic, Congenital",60
"Anemia, Hemolytic, Congenital Nonspherocytic",0
"Anemia, Hypochromic",6
"Anemia, Macrocytic",12
"Anemia, Megaloblastic",9
"Anemia, Myelophthisic",0
"Anemia, Neonatal",7
"Anemia, Pernicious",0
"Anemia, Refractory",16
"Anemia, Refractory, with Excess of Blasts",4
"Anemia, Sickle Cell",43
"Anemia, Sideroblastic",4
Anencephaly,1
Aneuploidy,0
Aneurysm,44
"Aneurysm, Dissecting",2
"Aneurysm, Infected",0
Angina Pectoris,11
"Angina Pectoris, Variant",0
"Angina, Unstable",1
Angioid Streaks,0
Angiokeratoma,0
Fabry Disease,0
Angiolymphoid Hyperplasia with Eosinophilia,16
Angiomatosis,56
Angioedema,21
Animal Diseases,982
Aniseikonia,0
Ankylosis,15
Anodontia,0
Anomia,0
Anophthalmos,0
Anorexia,0
Olfaction Disorders,0
Anovulation,2
Hypoxia,0
Anterior Compartment Syndrome,0
Anthracosilicosis,0
Anthrax,6
Anuria,0
Anus Diseases,2
Anus Neoplasms,1
"Anus, Imperforate",0
Aortic Aneurysm,19
Aortic Arch Syndromes,3
Aortic Coarctation,2
Aortic Diseases,26
Aortic Rupture,1
"Aortic Stenosis, Subvalvular",23
Aortic Valve Insufficiency,1
Aortic Valve Prolapse,0
Aortic Valve Stenosis,65
Aortitis,1
Aortopulmonary Septal Defect,0
Aphakia,0
"Aphakia, Postcataract",0
Aphasia,46
"Aphasia, Broca",9
"Aphasia, Wernicke",3
Aphonia,0
Apnea,7
Appendiceal Neoplasms,1
Appendicitis,7
Apraxias,4
Apudoma,0
Spider Bites,0
Arachnoiditis,1
Arbovirus Infections,117
Arcus Senilis,0
Arenaviridae Infections,19
Argyria,0
Arm Injuries,2
Arnold-Chiari Malformation,0
"Arrhythmias, Cardiac",92
"Arrhythmia, Sinus",5
Arterial Occlusive Diseases,260
Arterio-Arterial Fistula,0
Arteriosclerosis,250
Arteriosclerosis Obliterans,0
Arteriovenous Fistula,0
Arteriovenous Malformations,1
Arteritis,9
Arthritis,464
"Arthritis, Experimental",14
"Arthritis, Infectious",3
"Arthritis, Juvenile",51
"Arthritis, Rheumatoid",271
Arthrogryposis,1
"Arthropathy, Neurogenic",1
Arthus Reaction,0
Articulation Disorders,0
Asbestosis,4
Ascariasis,0
Ascaridiasis,0
Ascites,0
Ascorbic Acid Deficiency,5
Aspergillosis,11
"Aspergillosis, Allergic Bronchopulmonary",2
Asphyxia,1
Asphyxia Neonatorum,0
Asthenia,0
Asthenopia,0
Asthma,171
"Asthma, Exercise-Induced",0
Astigmatism,0
Astrocytoma,713
Ataxia,93
Ataxia Telangiectasia,65
Pulmonary Atelectasis,2
Athetosis,0
Athletic Injuries,1
Atrial Fibrillation,30
Atrial Flutter,0
Atrophy,0
"Auditory Diseases, Central",4
Auditory Perceptual Disorders,4
Autoimmune Diseases,1143
Autolysis,0
Autonomic Nervous System Diseases,25
Avian Leukosis,0
"Sarcoma, Avian",0
Avitaminosis,28
Babesiosis,0
Back Pain,0
Bacterial Infections and Mycoses,1198
Bacterial Infections,671
Bacteriuria,4
Bacteroides Infections,4
Balanitis,0
Balantidiasis,0
Balkan Nephropathy,0
Barotrauma,2
Barrett Esophagus,62
Bartonella Infections,1
Bartonellaceae Infections,1
Bartter Syndrome,0
Basal Cell Nevus Syndrome,1
Basal Ganglia Diseases,350
Battered Child Syndrome,0
Beckwith-Wiedemann Syndrome,9
Behcet Syndrome,38
Beriberi,0
Bernard-Soulier Syndrome,3
Berylliosis,4
Bezoars,0
Bile Duct Diseases,90
Bile Duct Neoplasms,60
"Cholestasis, Extrahepatic",0
Bile Reflux,1
Biliary Atresia,5
Biliary Dyskinesia,0
Biliary Fistula,0
Biliary Tract Diseases,110
Biliary Tract Neoplasms,72
Bird Diseases,24
Bird Fancier's Lung,0
Birth Injuries,0
Birth Weight,0
Bites and Stings,39
"Bites, Human",36
Blackwater Fever,0
Urinary Bladder Calculi,0
Urinary Bladder Diseases,227
Bladder Exstrophy,0
Urinary Bladder Fistula,0
Urinary Bladder Neck Obstruction,0
Urinary Bladder Neoplasms,212
"Urinary Bladder, Neurogenic",0
Blast Crisis,20
Blast Injuries,2
Blastomycosis,0
Blepharitis,0
Blepharoptosis,0
