"Diease_TreeNumber","Disease_Mesh_Heading","Disease_Count"
"C23.888.592.612.054.200","Abdomen, Acute","0"
"C26.017","Abdominal Injuries","0"
"C04.588.033","Abdominal Neoplasms","25"
"C16.320.565.398.500.440.500","Abetalipoproteinemia","5"
"C16.131","Congenital Abnormalities","1659"
"C16.131.042","Abnormalities, Drug-Induced","4"
"C16.131.077","Abnormalities, Multiple","517"
"C16.131.080","Abnormalities, Radiation-Induced","0"
"C13.703.039","Abortion, Spontaneous","22"
"C13.703.039.089","Abortion, Habitual","11"
"C13.703.039.093","Abortion, Incomplete","0"
"C13.703.039.173","Abortion, Missed","0"
"C01.539.674.173","Abortion, Septic","0"
"C13.703.090","Abortion, Threatened","5"
"C13.703.039.422","Abortion, Veterinary","0"
"C13.703.420.078","Abruptio Placentae","0"
"C01.539.830.025","Abscess","3"
"C01.539.830.025.675","Peritonsillar Abscess","0"
"C17.800.865.070","Acantholysis","0"
"C17.800.621.430.530.100","Acanthosis Nigricans","2"
"C18.654.521.719","Severe Acute Malnutrition","0"
"C20.543.480.370.763","Shellfish Hypersensitivity","0"
"C23.550.291.937.500","Symptom Flare Up","0"
"C18.654.726.500.698","Obesity, Metabolically Benign","0"
"C26.212","Cold Injury","0"
"C26.946","War-Related Injuries","0"
"C23.550.291.883","Late Onset Disorders","0"
"C23.888.369.500.500","Compassion Fatigue","0"
"C26.404.280","Fractures, Multiple","0"
"C10.228.140.490.125","Drug Resistant Epilepsy","0"
"C10.228.140.617.738.275.500","Autoimmune Hypophysitis","0"
"C11.496.221.500","Canaliculitis","0"
"C23.300.707.945","Incisional Hernia","0"
"C04.557.386.480.150.585.500","Plasmablastic Lymphoma","1"
"C04.557.470.200.588","Mammary Analogue Secretory Carcinoma","0"
"C17.800.030.150.500","Acne Conglobata","0"
"C12.706.445","Fused Kidney","0"
"C23.550.543","Long Term Adverse Effects","0"
"C10.228.140.430.520","Infectious Encephalitis","58"
"C01.539.221.750","Waterborne Diseases","0"
"C04.588.180.800","Unilateral Breast Neoplasms","0"
"C26.808.500","Degloving Injuries","0"
"C12.777.419.600.500.500","Staghorn Calculi","0"
"C05.330.488.655","Talipes","1"
"C05.330.488.655.500","Talipes Cavus","0"
"C05.330.663","Metatarsal Valgus","0"
"C05.330.711","Metatarsus Varus","0"
"C26.558.554.213","Anterior Cruciate Ligament Injuries","1"
"C26.803","Shoulder Injuries","0"
"C26.558.781","Tibial Meniscus Injuries","1"
"C05.116.296","Coxa Magna","0"
"C05.116.099.370.894.909","Tarsal Coalition","0"
"C05.360.500.500","Morton Neuroma","0"
"C26.599","Microtrauma, Physical","0"
"C10.228.140.199.444.375","Brain Contusion","0"
"C10.228.140.199.388","Brain Injuries, Diffuse","0"
"C10.228.140.199.444.500","Chronic Traumatic Encephalopathy","0"
"C05.550.518.288","Diastasis, Muscle","0"
"C05.550.518.192","Diastasis, Bone","0"
"C26.761.340","Rotator Cuff Injuries","0"
"C05.651.869.435","Elbow Tendinopathy","0"
"C10.228.140.199.444","Brain Injuries, Traumatic","7"
"C05.550.114.264.500","Rotator Cuff Tear Arthropathy","0"
"C05.550.354","Crystal Arthropathies","3"
"C05.651.869.653","Enthesopathy","0"
"C04.557.450.565.380.690","Giant Cell Tumor of Tendon Sheath","2"
"C26.404.625.500","Bankart Lesions","0"
"C10.228.590","Hyperekplexia","0"
"C06.198.025","Anorectal Malformations","0"
"C10.228.662.262.500.500","Tardive Dyskinesia","0"
"C23.888.369.500.250","Alert Fatigue, Health Personnel","0"
"C08.381.677.608","Pneumonia, Necrotizing","0"
"C23.550.291.500.500","Multiple Chronic Conditions","0"
"C16.320.298","Familial Multiple Lipomatosis","0"
"C14.907.055.817","Microaneurysm","0"
"C10.228.140.021","Acute Febrile Encephalopathy","0"
"C01.539.757.580","Neonatal Sepsis","2"
"C10.668.829.860","Small Fiber Neuropathy","0"
"C14.907.798","Stenosis, Pulmonary Vein","0"
"C14.907.137.825","Stenosis, Pulmonary Artery","0"
"C02.081.990","Zika Virus Infection","17"
"C10.597.606.337.500.500","Emergence Delirium","0"
"C02.782.815.616.400.044","Acute Retroviral Syndrome","0"
"C23.550.260.127","Body Remains","0"
"C05.330.488.050","Bunion","0"
"C04.557.450.565.590.340.705","Fibromatosis, Plantar","0"
"C26.404.038","Fractures, Avulsion","0"
"C26.257","Crush Injuries","0"
"C23.888.885.281","Cellulite","0"
"C18.452.394.750.714","Latent Autoimmune Diabetes in Adults","0"
"C09.218.568.900.442","Bilateral Vestibulopathy","0"
"C11.270.152","Cone-Rod Dystrophies","0"
"C23.888.541","Medically Unexplained Symptoms","0"
"C26.891.375.750","Myocardial Contusions","0"
"C04.557.470.200.240.187","Breast Carcinoma In Situ","64"
"C05.550.518.336","Fracture Dislocation","0"
"C05.550.518.336.875","Salter-Harris Fractures","0"
"C15.604.338","Lymphadenopathy","1"
"C15.604.496.160","Breast Cancer Lymphedema","0"
"C14.280.647.500.875","ST Elevation Myocardial Infarction","0"
"C14.280.647.500.469","Non-ST Elevated Myocardial Infarction","0"
"C10.228.140.617.738.275","Hypophysitis","0"
"C12.294.365.700.877","Teratozoospermia","0"
"C16.131.077.245","Ciliopathies","67"
"C23.300.940","Spontaneous Perforation","0"
"C07.160","Ankyloglossia","0"
"C23.888.592.612.212","Cancer Pain","0"
"C25.100.844","Propofol Infusion Syndrome","0"
"C01.703.492","Invasive Fungal Infections","8"
"C26.859","Surgical Wound","0"
"C23.550.210.310","Chromothripsis","0"
"C23.550.291.500.750","Noncommunicable Diseases","0"
"C10.228.140.490.493","Epileptic Syndromes","43"
"C24.580","Occupational Stress","0"
"C23.300.818","Microvascular Rarefaction","0"
"C23.550.359","Frailty","0"
"C01.252.400.780.790.750","Spotted Fever Group Rickettsiosis","1"
"C08.381.520.500.500","Transfusion-Related Acute Lung Injury","0"
"C02.256.466.930","Varicella Zoster Virus Infection","10"
"C23.888.592.612.860","Pain, Procedural","0"
"C10.597.606.360.835","Trisomy 13 Syndrome","1"
"C14.240.400.975","Trisomy 18 Syndrome","1"
"C14.240.850.992","Vascular Ring","0"
"C23.888.821.387","Food Intolerance","0"
"C04.557.470.035.175.900","Tubular Sweat Gland Adenomas","0"
"C14.280.067.558.430","Interatrial Block","0"
"C10.228.140.300.535.200.600","Cerebral Intraventricular Hemorrhage","0"
"C17.300.849","Undifferentiated Connective Tissue Diseases","0"
"C06.405.469.531.788","Meconium Ileus","0"
"C25.775.675.800","Opium Dependence","0"
"C04.697.850","Oncogene Addiction","0"
"C06.198.929","Median Arcuate Ligament Syndrome","0"
"C20.543.480.370.572","Nut and Peanut Hypersensitivity","0"
"C14.280.647.375","Kounis Syndrome","0"
"C25.775.814","Substance Abuse, Oral","0"
"C04.834.794","Smoldering Multiple Myeloma","0"
"C14.907.489.165","Essential Hypertension","0"
"C14.280.123","Cardiac Conduction System Disease","48"
"C19.053.500.263.500","Hypoadrenocorticism, Familial","0"
"C25.723.522","Heavy Metal Poisoning","1"
"C04.557.595.250","Immunoglobulin Light-chain Amyloidosis","0"
